Timestamp,Action,Scheduled Time
2025-07-30 13:15:27,Daily Shutdown Scheduled,01:16 PM
2025-07-30 13:40:21,Daily Shutdown Scheduled,01:41 PM
2025-07-30 13:42:02,Daily Shutdown Scheduled,01:42 PM
2025-07-30 13:42:07,Daily shutdown schedule stopped,01:42 PM
2025-07-30 13:42:07,Daily Shutdown Scheduled,01:43 PM
2025-07-30 13:42:35,Daily Shutdown Scheduled,01:43 PM
2025-07-30 13:43:15,Daily shutdown schedule stopped,01:43 PM
2025-07-30 13:46:53,Daily Shutdown Scheduled,01:47 PM
2025-07-30 13:47:28,Daily Shutdown Scheduled,01:47 PM
2025-07-30 13:47:34,Daily shutdown schedule stopped,01:47 PM
2025-07-30 13:47:34,Daily Shutdown Scheduled,01:48 PM
2025-07-30 13:49:17,Daily Shutdown Scheduled,01:50 PM
2025-07-30 13:49:29,Daily shutdown schedule stopped,01:50 PM
2025-07-30 13:49:48,Daily Shutdown Scheduled,01:50 PM
2025-07-30 13:51:07,Daily Shutdown Scheduled,01:52 PM
2025-07-30 13:51:39,Daily shutdown schedule stopped,01:52 PM
